1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtFinSF1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageYrBlt,GrLivArea,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice,BsmtExposure_No,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_Av,BsmtExposure_None,BsmtFinType1_GLQ,BsmtFinType1_ALQ,BsmtFinType1_Unf,BsmtFinType1_Rec,BsmtFinType1_BLQ,BsmtFinType1_None,BsmtFinType1_LwQ,GarageFinish_RFn,GarageFinish_Unf,GarageFinish_Fin,KitchenQual_Gd,KitchenQual_TA,KitchenQual_Ex,KitchenQual_Fa
1040,0.0,3.0,906,134,0.0,384,1965.0,1040,11200,70.0,0.0,0,5,5,1040,0.0,1965,1965,129500,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1182,1142.0,4.0,998,177,0.0,736,2005.0,2324,11924,85.0,286.0,21,5,9,1175,0.0,2005,2006,345000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
912,0.0,2.0,737,175,0.0,352,1962.0,912,12968,70.6832298136646,0.0,0,6,5,912,0.0,1962,1962,144000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1494,0.0,3.0,0,1494,0.0,840,2006.0,1494,10652,91.0,306.0,33,5,7,1494,160.0,2006,2007,279500,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1253,0.0,2.866718628215121,733,520,0.0,352,1960.0,1253,10920,70.6832298136646,212.0,213,5,6,1253,0.0,1960,1960,157000,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
854,0.0,2.0,0,832,0.0,576,1991.0,854,6120,51.0,0.0,112,8,7,832,0.0,1929,2001,132000,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1004,0.0,2.0,578,426,0.0,480,1970.0,1004,11241,70.6832298136646,180.0,0,7,6,1004,0.0,1970,1970,149000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
1296,0.0,2.0,0,0,0.0,516,1967.0,1296,10791,72.0,0.0,0,5,4,0,0.0,1967,1967,90000,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1114,354.7066974595843,2.866718628215121,646,468,0.0,576,2004.0,1114,13695,66.0,0.0,102,5,5,1114,0.0,2004,2004,159000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1339,0.0,3.0,504,525,0.0,294,1958.0,1339,7560,70.0,0.0,0,6,5,1029,0.0,1958,1965,139000,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1158,1218.0,4.0,0,1158,0.0,853,2005.0,2376,14215,101.0,380.0,154,5,8,1158,240.0,2005,2006,325300,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1108,0.0,3.0,0,637,0.0,280,1930.0,1108,7449,57.0,0.0,0,7,7,637,0.0,1930,1950,139400,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1795,0.0,3.0,0,1777,0.0,534,2002.0,1795,9742,75.0,281.0,159,5,8,1777,0.0,2002,2002,230000,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1060,0.0,3.0,840,200,0.0,572,1976.0,1060,4224,44.0,0.0,110,7,5,1040,100.0,1976,1976,129900,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1060,0.0,3.0,188,204,0.0,270,1968.0,1060,8246,70.6832298136646,0.0,90,8,5,1060,0.0,1968,2001,154000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1600,0.0,3.0,0,1566,0.0,890,2007.0,1600,14230,110.0,640.0,56,5,8,1566,0.0,2007,2007,256300,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
900,0.0,3.0,234,180,0.0,576,2005.0,900,7200,60.0,0.0,32,7,5,900,0.0,1951,2000,134800,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1704,354.7066974595843,3.0,1218,486,0.0,772,2008.0,1704,11478,98.0,200.0,50,5,8,1704,0.0,2007,2008,306000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1600,0.0,2.0,1277,207,0.0,319,1957.0,1600,16321,47.0,0.0,258,6,5,1484,0.0,1957,1997,207500,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
520,0.0,1.0,0,520,0.0,240,1920.0,520,6324,60.0,0.0,0,6,4,520,0.0,1927,1950,68500,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
649,668.0,3.0,0,649,0.0,250,1920.0,1317,8500,50.0,0.0,54,4,4,649,0.0,1920,1950,40000,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1228,0.0,3.0,0,1228,0.0,271,1966.0,1228,8544,70.6832298136646,0.0,65,6,5,1228,0.0,1966,2006,149350,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1234,0.0,3.0,0,1234,0.0,484,2007.0,1234,11049,85.0,0.0,30,5,8,1234,0.0,2007,2007,179900,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1700,0.0,4.0,1018,380,0.0,447,1959.0,1700,10552,70.0,0.0,38,5,5,1398,0.0,1959,1959,165500,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
1561,0.0,2.0,1153,408,0.0,556,2005.0,1561,7313,60.0,246.0,47,5,9,1561,203.0,2005,2005,277500,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1132,1320.0,4.0,0,1117,0.0,691,2004.0,2452,13418,108.0,132.0,32,5,8,1117,0.0,2004,2005,309000,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1097,0.0,3.0,0,1097,0.0,672,1995.0,1097,10859,112.0,0.0,64,5,5,1097,0.0,1994,1995,145000,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1297,0.0,2.866718628215121,1213,84,0.0,498,1954.0,1297,8532,74.0,650.0,0,6,5,1297,0.0,1954,1990,153000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
1057,0.0,3.0,731,326,0.0,246,1953.0,1057,7922,68.0,0.0,52,7,5,1057,0.0,1953,2007,109000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1324,0.0,3.0,643,445,0.0,440,1965.0,1324,8658,84.0,101.0,138,5,6,1088,0.0,1965,1965,160000,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1328,354.7066974595843,2.0,967,383,0.0,308,1959.0,1328,16905,115.0,0.0,104,6,5,1350,0.0,1959,1959,170000,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
884,0.0,2.0,747,0,0.0,504,1983.0,884,9180,70.6832298136646,0.0,0,7,5,840,240.0,1983,1983,144000,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
938,0.0,3.0,280,167,0.0,308,1977.0,938,9200,70.6832298136646,0.0,0,6,5,938,145.0,1975,1980,130250,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1150,0.0,3.0,179,465,0.0,300,1959.0,1150,7945,70.0,0.0,0,6,5,1150,0.0,1959,1959,141000,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
1752,0.0,2.0,456,1296,0.0,576,2005.0,1752,7658,61.0,412.0,82,5,9,1752,0.0,2005,2005,319900,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1518,631.0,1.0,1351,83,0.0,670,2003.0,2149,12822,48.0,0.0,43,5,7,1434,0.0,2003,2003,239686,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1656,0.0,3.0,24,1632,0.0,826,2006.0,1656,11096,84.0,0.0,146,5,8,1656,0.0,2006,2006,249700,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
955,0.0,3.0,763,192,0.0,386,1966.0,955,7742,66.0,0.0,0,7,5,955,0.0,1966,1966,127000,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
794,676.0,2.866718628215121,182,612,0.0,388,1997.0,1470,13869,70.6832298136646,0.0,75,6,6,794,0.0,1997,1997,177000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
816,0.0,3.0,0,816,0.0,528,1985.0,1176,6240,52.0,0.0,0,6,6,816,0.0,1934,1950,114500,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
816,0.0,2.0,104,0,0.0,516,1963.0,816,8472,110.0,0.0,0,5,5,816,0.0,1963,1963,110000,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1842,0.0,0.0,1810,32,0.0,894,1981.0,1842,50271,68.0,0.0,72,5,9,1842,0.0,1981,1987,385000,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
1360,0.0,2.866718628215121,384,0,0.0,572,1962.0,1360,7134,60.0,0.0,50,5,5,384,0.0,1955,1955,130000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1425,0.0,3.0,490,935,0.0,576,1964.0,1425,10175,100.0,272.0,0,5,6,1425,0.0,1964,1964,180500,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
983,756.0,3.0,649,321,0.0,480,1999.0,1739,2645,24.0,456.0,0,5,8,970,0.0,1999,2000,172500,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
860,354.7066974595843,3.0,0,860,0.0,565,2004.0,1720,11645,89.0,0.0,70,5,7,860,0.0,2004,2004,196500,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1426,1519.0,3.0,0,1410,0.0,641,2006.0,2945,13682,66.0,1031.0,0,5,10,1410,0.0,2006,2006,438780,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
780,0.0,2.0,632,148,0.0,352,1973.0,780,7200,60.0,0.0,0,7,5,780,196.0,1972,1972,124900,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1158,0.0,3.0,941,217,0.0,576,2006.0,1158,13072,63.0,0.0,50,5,6,1158,0.0,2004,2004,158000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
581,530.0,3.0,0,530,0.0,288,1935.0,1111,7200,60.0,0.0,0,7,5,530,0.0,1920,1996,101000,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1370,0.0,2.0,24,1346,0.0,484,2006.0,1370,6442,44.0,178.0,49,5,8,1370,0.0,2006,2006,202500,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
902,808.0,3.0,0,576,0.0,480,1990.0,1710,10300,50.0,0.0,11,6,7,576,0.0,1921,1950,140000,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1057,977.0,2.866718628215121,739,318,0.0,645,1998.0,2034,9375,70.6832298136646,573.0,36,5,7,1057,0.0,1997,1998,219500,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1143,1330.0,4.0,0,1143,0.0,852,2004.0,2473,9591,76.0,344.0,151,5,8,1143,0.0,2004,2005,317000,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
2207,0.0,3.0,912,1035,0.0,576,1970.0,2207,19900,70.6832298136646,287.0,0,5,7,1947,0.0,1970,1989,180000,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1479,0.0,3.0,1013,440,0.0,558,2003.0,1479,10665,72.0,167.0,29,5,7,1453,0.0,2003,2003,226000,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
747,0.0,2.0,0,747,0.0,220,1945.0,747,4608,47.0,0.0,0,6,4,747,0.0,1945,1950,80000,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1304,983.0,2.866718628215121,603,701,0.0,667,1953.0,2287,15593,81.0,0.0,21,4,7,1304,0.0,1953,1953,225000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2223,0.0,3.0,1880,343,0.0,516,1973.0,2223,13651,95.0,1115.0,0,6,7,2223,300.0,1973,1973,244000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
845,0.0,2.0,565,280,0.0,360,1987.0,845,7599,69.0,0.0,0,6,4,845,0.0,1982,2006,129500,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
885,833.0,3.0,0,832,0.0,427,1998.0,1718,10141,74.0,40.0,94,5,7,832,0.0,1998,1998,185000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1086,0.0,3.0,320,404,0.0,490,1989.0,1086,10200,85.0,104.0,0,7,5,1086,0.0,1954,2003,144900,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
840,765.0,3.0,0,840,0.0,379,1915.0,1605,5790,60.0,0.0,0,6,3,840,0.0,1915,1950,107400,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
526,462.0,2.0,462,0,0.0,297,1973.0,988,1596,21.0,0.0,101,5,4,462,0.0,1973,1973,91000,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
952,0.0,2.0,228,724,0.0,283,1956.0,952,8475,70.6832298136646,0.0,0,7,4,952,0.0,1956,1956,135750,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1072,213.0,2.0,336,295,0.0,240,1948.0,1285,8635,50.0,0.0,0,5,5,672,0.0,1948,2001,127000,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
682,548.0,2.0,0,440,0.0,440,1966.0,1230,10440,60.0,0.0,0,6,5,440,0.0,1910,1981,110000,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1182,960.0,2.866718628215121,448,448,0.0,509,1968.0,2142,13000,100.0,576.0,72,6,6,896,0.0,1968,1968,193500,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
1337,0.0,2.0,1201,36,0.0,405,1998.0,1337,4500,32.0,443.0,199,5,6,1237,0.0,1998,1998,153500,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1563,0.0,3.0,33,1530,0.0,758,2007.0,1563,10206,78.0,468.0,99,5,8,1563,0.0,2007,2007,245000,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1065,0.0,3.0,0,1065,0.0,461,1974.0,1065,8892,80.0,66.0,0,5,5,1065,0.0,1960,1960,126500,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
804,670.0,3.0,0,384,0.0,400,1995.0,1474,8530,70.6832298136646,22.0,72,5,7,384,120.0,1995,1996,168500,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1301,1116.0,4.0,0,1288,0.0,462,1991.0,2417,16059,121.0,284.0,82,5,8,1288,127.0,1991,1992,260000,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
684,876.0,3.0,0,684,0.0,400,2005.0,1560,11911,122.0,0.0,38,5,6,684,0.0,2005,2005,174000,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
612,612.0,2.866718628215121,0,612,0.0,528,2009.0,1224,3951,40.0,76.0,234,5,6,612,0.0,2009,2009,164500,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1040,0.0,2.0,0,0,0.0,420,1950.0,1040,7200,60.0,0.0,29,5,4,0,0.0,1950,1950,109900,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1235,0.0,2.0,600,635,0.0,480,1961.0,1235,8500,85.0,203.0,0,3,5,1235,0.0,1961,1961,98600,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
964,0.0,2.0,713,163,0.0,432,1921.0,964,13360,80.0,0.0,0,7,5,876,0.0,1921,2006,163500,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1260,1031.0,4.0,1046,168,0.0,506,1900.0,2291,7200,60.0,0.0,0,6,6,1214,0.0,1910,1998,133900,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
905,881.0,3.0,648,176,0.0,684,1997.0,1786,9337,69.0,0.0,162,5,6,824,0.0,1997,1997,204750,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
680,790.0,3.0,310,370,0.0,420,1993.0,1470,9765,70.6832298136646,68.0,63,8,6,680,0.0,1993,1993,185000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1588,354.7066974595843,2.866718628215121,1162,426,0.0,472,1999.0,1588,10264,78.0,183.0,29,5,7,1588,0.0,1999,1999,214000,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
960,0.0,3.0,520,440,0.0,432,1965.0,960,10921,73.0,48.0,0,5,4,960,0.0,1965,1965,94750,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
835,0.0,2.0,108,350,0.0,366,1920.0,835,10625,85.0,0.0,0,5,5,458,0.0,1920,1950,83000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1610,0.0,3.0,1200,410,0.0,480,1977.0,1610,10603,70.6832298136646,28.0,68,7,6,1610,0.0,1977,2001,205000,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
977,755.0,3.0,0,741,0.0,476,1985.0,1732,9206,77.0,336.0,46,5,6,741,0.0,1985,1985,178000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1535,0.0,4.0,0,0,0.0,410,1979.0,1535,7018,64.0,0.0,0,5,5,0,0.0,1979,1979,118964,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1226,0.0,2.866718628215121,0,1226,0.0,740,2009.0,1226,10402,94.0,0.0,36,5,7,1226,0.0,2009,2009,198900,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1226,592.0,4.0,224,816,0.0,240,1951.0,1818,7758,70.6832298136646,600.0,0,4,7,1040,0.0,1931,1950,169500,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1053,354.7066974595843,3.0,0,1053,0.0,648,2003.0,1992,9375,75.0,768.0,45,5,8,1053,0.0,2003,2004,250000,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1047,0.0,2.0,0,641,0.0,273,1954.0,1047,10800,60.0,0.0,0,7,4,641,0.0,1885,1995,100000,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
789,0.0,2.0,104,516,0.0,250,1948.0,789,6000,50.0,0.0,0,5,5,789,0.0,1948,1950,115000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1844,0.0,3.0,705,1139,0.0,546,1977.0,1844,11751,105.0,480.0,122,6,6,1844,0.0,1977,1977,190000,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1216,639.0,4.0,444,550,0.0,325,1954.0,1855,9525,75.0,0.0,0,4,6,994,0.0,1954,1972,136900,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
774,656.0,3.0,250,134,0.0,400,2000.0,1430,7750,70.6832298136646,0.0,0,5,7,384,0.0,2000,2000,180000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1282,1414.0,4.0,984,280,0.0,792,2007.0,2696,9965,77.0,220.0,184,5,7,1264,0.0,2007,2007,383970,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
2259,0.0,3.0,35,905,0.0,450,1953.0,2259,21000,70.6832298136646,184.0,120,5,6,1809,0.0,1953,1953,217000,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1436,884.0,3.0,774,104,0.0,180,1945.0,2320,7259,61.0,0.0,0,8,6,1028,0.0,1945,2002,259500,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
729,729.0,2.0,419,310,0.0,440,1999.0,1458,3230,34.0,1129.0,32,5,6,729,0.0,1999,1999,176000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1092,0.0,3.0,170,252,0.0,288,1962.0,1092,11616,70.6832298136646,116.0,20,5,5,1092,0.0,1962,1962,139000,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1125,0.0,2.0,0,1125,0.0,430,2007.0,1125,8536,74.0,0.0,64,5,5,1125,0.0,2006,2007,155000,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1699,1523.0,5.0,1470,203,0.0,594,1990.0,3222,12376,90.0,0.0,0,5,7,1673,0.0,1990,1990,320000,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
728,728.0,3.0,0,728,0.0,390,2005.0,1456,8461,65.0,0.0,24,5,6,728,0.0,2005,2006,163990,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
988,0.0,1.0,938,0,0.0,540,1969.0,988,21453,70.6832298136646,0.0,130,5,6,938,0.0,1969,1969,180000,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
772,351.0,3.0,0,732,0.0,264,1979.0,1123,6060,50.0,0.0,0,5,4,732,0.0,1939,1950,100000,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1080,0.0,3.0,570,510,0.0,288,1958.0,1080,9464,75.0,135.0,0,7,6,1080,0.0,1958,1958,136000,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1199,0.0,2.0,300,899,0.0,530,1993.0,1199,7892,55.0,0.0,63,5,6,1199,0.0,1993,1993,153900,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1586,0.0,3.0,0,1362,0.0,435,1979.0,1586,17043,48.0,0.0,0,5,6,1362,192.0,1979,1998,181000,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
958,354.7066974595843,2.0,120,958,0.0,440,1977.0,958,4928,70.6832298136646,0.0,205,5,6,1078,0.0,1976,1976,128000,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
660,688.0,3.0,512,148,0.0,453,1966.0,1348,7590,69.0,266.0,108,5,6,660,0.0,1966,1966,155000,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1053,354.7066974595843,3.0,567,413,0.0,750,1998.0,1053,8973,69.0,85.0,80,7,5,1008,0.0,1958,1991,150000,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1216,941.0,4.0,445,479,0.0,487,1966.0,2157,14200,88.0,309.0,66,6,7,924,0.0,1966,1966,226000,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1022,1032.0,3.0,695,297,0.0,390,2000.0,2054,12224,70.6832298136646,40.0,48,5,6,992,0.0,2000,2000,244000,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1327,0.0,2.866718628215121,405,658,0.0,624,1974.0,1327,7388,75.0,0.0,0,6,5,1063,0.0,1959,2002,150750,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1296,0.0,2.0,1005,262,0.0,471,2001.0,1296,6853,70.6832298136646,136.0,25,5,8,1267,0.0,2001,2002,220000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
1721,0.0,3.0,570,891,0.0,440,1968.0,1721,10335,78.0,0.0,96,6,5,1461,0.0,1968,1993,180000,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1682,0.0,3.0,0,1304,0.0,530,1970.0,1682,10400,80.0,288.0,0,6,7,1304,0.0,1970,1970,174000,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1214,354.7066974595843,2.866718628215121,695,519,0.0,318,1967.0,1214,10355,70.6832298136646,196.0,111,5,5,1214,0.0,1967,1967,143000,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1959,0.0,5.0,0,1907,0.0,766,1989.0,1959,11070,82.0,70.0,0,5,7,1907,0.0,1988,1989,171000,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1004,848.0,3.0,668,336,0.0,660,1999.0,1852,9066,73.0,320.0,106,5,8,1004,0.0,1999,2000,230000,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
928,836.0,3.0,821,107,0.0,470,1997.0,1764,15426,65.0,0.0,99,5,6,928,0.0,1997,1997,231500,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
